epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7432,0.91039,2.70835,1.24727,0.00556,1,0.39953,0.25855,0.59787,2.88423,1.32307,4e-05,4e-05,4e-05
2,39.4852,0.72131,2.38455,1.20474,0.00556,1,0.46143,0.28243,0.61385,2.87146,1.36467,9.505e-05,9.505e-05,9.505e-05
3,55.9333,0.77982,1.93989,1.14004,0.00556,1,0.65789,0.43787,0.58822,2.83682,1.3618,0.00014416,0.00014416,0.00014416
4,71.3414,0.82895,2.00872,1.25034,0.00556,1,0.73409,0.49499,0.6537,2.79105,1.34477,0.00018733,0.00018733,0.00018733
5,86.7578,0.82246,1.80601,1.27778,0.00556,1,0.71045,0.46906,0.64529,2.73335,1.30416,0.00022456,0.00022456,0.00022456
6,103.728,0.69855,1.54018,1.26964,0.00556,1,0.7253,0.43818,0.66359,2.67975,1.38139,0.00025585,0.00025585,0.00025585
7,120.763,0.8905,1.35878,1.24688,0.00556,1,0.63912,0.40107,0.72975,2.71641,1.45161,0.0002812,0.0002812,0.0002812
8,137.06,0.59928,1.06653,1.1777,0.21937,1,0.6877,0.39928,0.8398,2.71303,1.55138,0.00030061,0.00030061,0.00030061
9,154.284,0.87858,1.38788,1.20786,0.56405,0.5,0.6818,0.4085,0.90613,2.73515,1.67764,0.00031408,0.00031408,0.00031408
10,172.851,0.81728,1.07304,1.24123,1,0.365,0.74106,0.46369,0.9655,2.73985,1.70377,0.00032161,0.00032161,0.00032161
11,190.32,0.69189,1.50108,1.14985,0.96293,0.3,0.66256,0.46027,1.13024,2.63614,1.85657,0.0003232,0.0003232,0.0003232
12,208.3,0.55658,1.37086,1.00662,1,0.37471,0.67645,0.44091,1.13065,2.6602,1.88748,0.00031885,0.00031885,0.00031885
13,225.618,0.50566,1.29001,1.09977,1,0.39578,0.68176,0.39039,1.06079,2.69016,1.79949,0.00030856,0.00030856,0.00030856
14,242.976,1.03313,1.80009,1.46075,0.96749,0.5,0.73157,0.33581,1.1699,2.6649,2.0188,0.00029233,0.00029233,0.00029233
15,259.173,0.5003,1.33307,0.99249,0.96749,0.5,0.73157,0.33581,1.1699,2.6649,2.0188,0.00027016,0.00027016,0.00027016
16,276.9,0.63541,1.94564,1.29674,0.8052,0.5,0.75794,0.30657,1.16121,2.63581,1.98866,0.00024205,0.00024205,0.00024205
17,294.482,0.5698,1.31029,1.05571,0.83519,0.50781,0.73897,0.3699,0.98577,2.70998,1.70054,0.000208,0.000208,0.000208
18,312.056,0.58393,1.73073,1.16434,0.83519,0.50781,0.73897,0.3699,0.98577,2.70998,1.70054,0.00016801,0.00016801,0.00016801
19,330.21,0.53409,1.18517,0.99552,0.85234,0.57983,0.75452,0.43141,0.98616,2.64081,1.77795,0.00012208,0.00012208,0.00012208
20,347.05,0.41551,1.33624,1.06146,0.79401,0.6,0.76902,0.44622,0.95462,2.55492,1.72168,7.021e-05,7.021e-05,7.021e-05
