epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.13,0.55581,1.48282,0.99897,0.00556,1,0.77075,0.50284,0.62715,2.78036,1.34582,4e-05,4e-05,4e-05
2,39.0413,0.6178,1.51343,1.19742,0.00556,1,0.73557,0.49106,0.63666,2.73702,1.30228,9.802e-05,9.802e-05,9.802e-05
3,55.3041,0.56448,1.14918,1.02326,0.00556,1,0.79753,0.5295,0.67689,2.7285,1.31849,0.000153664,0.000153664,0.000153664
4,72.1282,0.74328,1.75484,1.14949,0.00556,1,0.83856,0.58034,0.73052,2.75492,1.38267,0.000206932,0.000206932,0.000206932
5,88.3901,0.79855,1.63827,1.31337,0.00556,1,0.81882,0.52682,0.80121,2.78555,1.43609,0.000257824,0.000257824,0.000257824
6,104.48,0.66301,1.29779,1.20728,1,0.28661,0.70856,0.3373,1.10272,2.84332,1.68264,0.00030634,0.00030634,0.00030634
7,120.161,0.95452,1.25825,1.2823,0.87193,0.3,0.54794,0.2914,1.21984,3.01595,1.90533,0.00035248,0.00035248,0.00035248
8,136.787,0.62724,1.00694,1.21766,0.00444,0.8,0.54865,0.25793,1.55667,3.0721,2.20995,0.000396244,0.000396244,0.000396244
9,152.796,0.80161,1.26212,1.13949,0.005,0.9,0.51451,0.19634,1.8768,3.15944,2.59046,0.000437632,0.000437632,0.000437632
10,170.587,0.72577,1.07184,1.23401,0.00556,1,0.39568,0.11345,2.07673,3.42532,2.69447,0.000476644,0.000476644,0.000476644
11,187.378,0.76678,1.00829,1.20326,0.45578,0.42041,0.46663,0.25339,1.46588,2.86972,2.03381,0.00051328,0.00051328,0.00051328
12,205.716,0.71563,1.50526,1.18091,0.72277,0.52375,0.65528,0.38229,1.34802,2.60324,2.01115,0.00054754,0.00054754,0.00054754
13,223.07,0.76265,1.08088,1.23716,0.61273,0.6,0.60626,0.33312,1.27549,2.55515,1.97736,0.000579424,0.000579424,0.000579424
14,241.077,0.68121,1.03883,1.06754,0.56278,0.3879,0.58707,0.25972,1.22754,2.67022,1.9309,0.000608932,0.000608932,0.000608932
15,261.646,0.84161,1.07517,1.19576,0.56278,0.3879,0.58707,0.25972,1.22754,2.67022,1.9309,0.000636064,0.000636064,0.000636064
16,279.055,0.7464,1.28185,1.1646,0.5443,0.4,0.5128,0.22007,1.36138,2.69427,1.9387,0.00066082,0.00066082,0.00066082
17,296.376,1.19596,2.6361,1.56505,0.59313,0.3,0.42691,0.18268,1.31754,2.72743,1.861,0.0006832,0.0006832,0.0006832
18,313.437,0.94667,1.73825,1.31412,0.59313,0.3,0.42691,0.18268,1.31754,2.72743,1.861,0.000703204,0.000703204,0.000703204
19,331.011,0.68336,1.05518,1.0941,0.64169,0.54006,0.62311,0.34001,1.2365,2.54531,1.84315,0.000720832,0.000720832,0.000720832
